Sentence,Aspect Term,polarity
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",picture quality,positive
"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",Final Cut Pro,positive
"Looks nice, but has a horribly cheap feel.",feel,negative
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs,neutral
Comfterbale to use light easy to transport.,transport,positive
I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.,repair depot,neutral
Keyboard good sized and wasy to use.,use,positive
"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.",runs,positive
"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",price,negative
The games included are very good games.,games,positive
I couldn't believe how long the battery lasted on a single charge.,charge,positive
"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",memory,positive
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Linux,neutral
The unibody design is edgy and durable.,unibody design,positive
"Did I mention everything about it, from size to weight to keyboard screams BULK?",weight,negative
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,negative
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",clicking buttons,negative
This was the 3rd day and part still had not been shipped.,shipped,negative
"Some problems can be fixed if you purchase new software, but there is no guarentee.",software,negative
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive
"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.",service,negative
"The processor went on me, the fan went and the motherboard went.",fan,negative
It has a .1 ghz faster processor and a stock 500gb hard drive.,500gb hard drive,positive
"Love the graphics, awesome programs (including Garageband), and really cool default background.",default background,positive
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,cd drive,negative
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative
"I love the size, keyboard, the functions.",functions,positive
Going to bring it to service today.,service,neutral
I have been very pleased with the performance of this laptop.,performance,positive
